chr	start	end	pct_AST	pct_nonAST	mean_AST	mean_nonAST	log2FC
chr1	6382430	6383373	0.025	0.008	0.05	0.016	1.225
chr1	6405983	6406914	0.013	0.013	0.025	0.029	-0.143
chr1	6409757	6410661	0	0.009	0	0.02	-1.585
chr1	6441009	6441835	0.006	0.009	0.013	0.018	-0.293
chr1	6760403	6761282	0	0.006	0	0.012	-1.143
chr1	6790453	6791361	0	0.004	0	0.012	-1.143
chr1	6858973	6859691	0.006	0.008	0.013	0.015	-0.14
chr1	6866592	6867432	0.006	0.009	0.006	0.018	-0.764
chr1	7009943	7010796	0	0.006	0	0.015	-1.342
chr1	7088391	7089289	0.082	0.053	0.195	0.118	0.684
chr1	7204504	7205407	0	0.013	0	0.024	-1.773
chr1	7206398	7207311	0	0.006	0	0.013	-1.173
chr1	7218589	7219453	0.006	0.006	0.013	0.013	-0.028
chr1	7219836	7220870	0	0.005	0	0.012	-1.143
chr1	7397614	7398479	0.057	0.067	0.107	0.151	-0.462
chr1	7543203	7544059	0.006	0.007	0.013	0.016	-0.219
chr1	7741889	7742711	0.006	0.004	0.019	0.007	0.727
chr1	8326629	8327410	0	0.003	0	0.009	-0.913
chr1	8674929	8675933	0	0.005	0	0.01	-1.016
chr1	9182005	9182906	0	0.003	0	0.007	-0.763
chr1	9191830	9192678	0.031	0.004	0.082	0.008	2.358
chr1	9225066	9225964	0.006	0.005	0.013	0.009	0.227
chr1	9298147	9299060	0.006	0.007	0.013	0.019	-0.364
chr1	9299292	9300186	0.006	0.008	0.013	0.017	-0.269
chr1	9544841	9545750	0.05	0.033	0.138	0.073	0.83
chr1	9547643	9548549	0.031	0.011	0.057	0.021	1.086
chr1	9572997	9573856	0.038	0.007	0.063	0.013	1.693
chr1	9601151	9602088	0	0.007	0	0.015	-1.315
chr1	9611542	9612247	0.019	0.002	0.063	0.004	2.41
chr1	9621346	9622061	0.006	0.005	0.013	0.009	0.262
chr1	9658837	9659906	0	0.004	0	0.009	-0.948
chr1	9696507	9697317	0.013	0.006	0.025	0.011	0.733
chr1	9700100	9701008	0.057	0.026	0.119	0.051	1.083
chr1	9748032	9748939	0.038	0.037	0.094	0.076	0.275
chr1	9772550	9773412	0.025	0.005	0.057	0.01	1.719
chr1	9797588	9798574	0.006	0.011	0.013	0.023	-0.538
chr1	9848038	9849033	0.006	0.004	0.013	0.007	0.412
chr1	9854407	9855291	0.006	0.004	0.006	0.013	-0.469
chr1	9878183	9879064	0.006	0.005	0.013	0.01	0.159
chr1	9908473	9909301	0.006	0.006	0.013	0.01	0.192
chr1	9943675	9944593	0.031	0.014	0.063	0.03	0.875
chr1	9967737	9968613	0	0.008	0	0.018	-1.468
chr1	9974553	9975389	0	0.004	0	0.011	-1.049
chr1	10006909	10007725	0.013	0.006	0.038	0.01	1.272
chr1	10008655	10009552	0.013	0.007	0.025	0.014	0.526
chr1	10037565	10038425	0.006	0.012	0.013	0.024	-0.578
chr1	10039468	10040303	0.025	0.018	0.057	0.041	0.375
chr1	10057686	10058471	0.013	0.006	0.025	0.012	0.671
chr1	10089279	10090113	0.031	0.01	0.057	0.019	1.197
chr1	10232728	10233602	0.013	0.013	0.025	0.019	0.275
chr1	10238640	10239395	0.006	0.006	0.013	0.012	0.062
chr1	10488023	10488915	0.013	0.006	0.013	0.012	0.062
chr1	10630545	10631441	0.006	0.005	0.013	0.01	0.192
chr1	10759372	10760227	0.006	0.007	0.013	0.013	0.002
chr1	10801249	10802076	0.006	0.005	0.013	0.011	0.094
chr1	10835313	10836173	0.013	0.008	0.025	0.016	0.446
chr1	10990510	10991420	0	0.004	0	0.009	-0.948
chr1	10993158	10993963	0	0.005	0	0.013	-1.203
chr1	11065164	11065861	0	0.002	0	0.005	-0.551
chr1	11139679	11140580	0.013	0.005	0.025	0.012	0.671
chr1	11177473	11178435	0.006	0.003	0.013	0.005	0.579
chr1	11329173	11330009	0.006	0.008	0.013	0.018	-0.317
chr1	11413799	11414715	0.031	0.021	0.063	0.042	0.479
chr1	11432180	11433067	0.006	0.002	0.013	0.011	0.126
chr1	11466248	11467017	0	0.005	0	0.009	-0.948
chr1	11565029	11565897	0.013	0.007	0.025	0.014	0.526
chr1	11657386	11658309	0.006	0.018	0.025	0.032	-0.259
chr1	11768057	11768945	0	0.003	0	0.007	-0.802
chr1	11795387	11796307	0.006	0.006	0.006	0.013	-0.499
chr1	12000304	12001191	0.013	0.008	0.025	0.017	0.395
chr1	12055560	12056442	0.006	0.008	0.025	0.017	0.395
chr1	12333616	12334466	0.006	0.005	0.025	0.009	0.901
chr1	12397967	12398847	0.006	0.005	0.013	0.013	0.002
chr1	12571579	12572598	0.013	0.008	0.038	0.016	0.862
chr1	12640714	12641630	0	0.018	0	0.038	-2.267
chr1	12717899	12718697	0.006	0.011	0.013	0.023	-0.558
chr1	12764088	12764899	0	0.005	0	0.008	-0.877
chr1	12835629	12836377	0	0.009	0	0.016	-1.368
chr1	12836627	12837363	0	0.01	0	0.017	-1.419
chr1	12863827	12864687	0.031	0.018	0.069	0.033	0.865
chr1	12877541	12878436	0	0.006	0	0.013	-1.203
chr1	12992188	12992994	0.013	0.013	0.038	0.026	0.387
chr1	13051879	13052771	0.006	0.006	0.013	0.012	0.032
chr1	13069073	13069868	0.006	0.004	0.013	0.008	0.298
chr1	13126280	13127081	0	0.004	0	0.008	-0.877
chr1	13134210	13135038	0	0.004	0	0.008	-0.84
chr1	13142695	13143446	0.013	0.005	0.025	0.01	0.831
chr1	13372249	13373081	0.025	0.022	0.044	0.041	0.073
chr1	13373866	13374726	0.013	0.008	0.019	0.017	0.086
chr1	13426264	13427172	0.006	0.009	0.006	0.02	-0.881
chr1	13531241	13532151	0.019	0.017	0.031	0.032	-0.006
chr1	13659615	13660070	0.013	0.012	0.013	0.019	-0.341
chr1	13660186	13660863	0.031	0.016	0.044	0.028	0.494
chr1	13682743	13683614	0.006	0.005	0.013	0.009	0.227
chr1	13706083	13706958	0.013	0.012	0.038	0.025	0.463
chr1	13784235	13785090	0.019	0.013	0.031	0.025	0.259
chr1	13789031	13790032	0.006	0.009	0.013	0.019	-0.364
chr1	13843895	13844783	0	0.004	0	0.009	-0.948
chr1	13935849	13936731	0	0.009	0	0.018	-1.468
chr1	14108234	14108849	0	0.005	0	0.008	-0.84
chr1	14108966	14109563	0.006	0.004	0.006	0.007	-0.059
chr1	14218479	14219333	0	0.008	0	0.014	-1.288
chr1	14244608	14245519	0	0.008	0	0.016	-1.393
chr1	14291762	14292772	0	0.004	0	0.008	-0.84
chr1	14309415	14310292	0.013	0.007	0.025	0.014	0.526
chr1	14385920	14386870	0	0.004	0	0.009	-0.948
chr1	14464753	14465577	0.006	0.003	0.013	0.007	0.412
chr1	14570401	14571338	0.006	0.007	0.013	0.015	-0.167
chr1	14635612	14636508	0	0.012	0	0.022	-1.671
chr1	14739767	14740631	0.013	0.024	0.025	0.048	-0.731
chr1	14854628	14855437	0.006	0.004	0.013	0.007	0.373
chr1	14862050	14862954	0.006	0.014	0.013	0.03	-0.833
chr1	15017111	15017997	0	0.004	0	0.008	-0.84
chr1	15286373	15287256	0.006	0.015	0.013	0.028	-0.765
chr1	15422921	15423844	0.006	0.004	0.013	0.008	0.335
chr1	15446491	15447389	0	0.009	0	0.018	-1.468
chr1	15483191	15484100	0	0.006	0	0.011	-1.049
chr1	15579085	15579977	0	0.003	0	0.007	-0.802
chr1	15606998	15607840	0.006	0.004	0.006	0.008	-0.173
chr1	15621683	15622529	0.013	0.015	0.019	0.03	-0.478
chr1	15683419	15684325	0.019	0.02	0.044	0.041	0.086
chr1	15717512	15718557	0	0.006	0	0.013	-1.173
chr1	15791562	15792479	0	0.008	0	0.017	-1.419
chr1	15805204	15806040	0.031	0.039	0.057	0.079	-0.411
chr1	15827420	15828330	0.013	0.004	0.019	0.009	0.616
chr1	15875293	15876051	0.006	0.004	0.013	0.013	-0.028
chr1	15892196	15893065	0.006	0.01	0.013	0.019	-0.364
chr1	15902194	15903078	0.006	0.01	0.006	0.021	-0.925
chr1	15912978	15913831	0	0.004	0	0.007	-0.802
chr1	15934728	15935724	0	0.003	0	0.006	-0.64
chr1	16092826	16093721	0	0.012	0	0.023	-1.733
chr1	16104655	16105501	0.031	0.021	0.063	0.04	0.558
chr1	16249544	16250336	0.006	0.006	0.013	0.01	0.159
chr1	16414686	16415563	0.006	0.004	0.013	0.007	0.452
chr1	16433172	16434127	0.025	0.008	0.031	0.019	0.535
chr1	16439883	16440784	0.031	0.013	0.075	0.026	1.246
chr1	16518770	16519653	0	0.014	0	0.026	-1.849
chr1	16519777	16520366	0.013	0.008	0.019	0.013	0.356
chr1	16546495	16547361	0.006	0.005	0.013	0.009	0.262
chr1	16618867	16619757	0.006	0.019	0.013	0.039	-1.106
chr1	16656552	16657498	0.05	0.022	0.094	0.046	0.909
chr1	16664809	16665671	0.019	0.007	0.063	0.013	1.693
chr1	16688205	16688987	0.013	0.018	0.031	0.031	0.01
chr1	16745658	16746499	0.006	0.012	0.006	0.03	-1.287
chr1	16798087	16799064	0.019	0.015	0.038	0.029	0.281
chr1	17001589	17002465	0.006	0.005	0.013	0.018	-0.317
chr1	17009353	17010272	0.019	0.008	0.05	0.015	1.251
chr1	17097506	17098395	0.031	0.028	0.082	0.055	0.49
chr1	17123165	17124011	0.031	0.012	0.057	0.025	0.924
chr1	17145095	17146082	0.019	0.009	0.038	0.019	0.716
chr1	17163295	17164145	0.025	0.016	0.044	0.029	0.477
chr1	17297062	17297936	0	0.004	0	0.007	-0.802
chr1	17337394	17338196	0.019	0.005	0.025	0.009	0.865
chr1	17377431	17378294	0.006	0.006	0.013	0.01	0.159
chr1	17465952	17466832	0.006	0.003	0.013	0.005	0.579
chr1	17523476	17524421	0	0.006	0	0.02	-1.562
chr1	17618644	17619507	0	0.004	0	0.009	-0.948
chr1	17629370	17630187	0.019	0.008	0.031	0.019	0.512
chr1	17655437	17656295	0	0.004	0	0.007	-0.763
chr1	17727192	17728083	0	0.007	0	0.014	-1.26
chr1	17980390	17981301	0.019	0.018	0.038	0.04	-0.08
chr1	18012579	18013496	0.013	0.006	0.025	0.011	0.765
chr1	18105999	18106599	0.006	0.009	0.019	0.019	0.014
chr1	18106701	18107193	0.013	0.009	0.025	0.015	0.499
chr1	18107695	18108569	0.013	0.006	0.031	0.013	0.878
chr1	18181102	18181770	0.006	0.003	0.013	0.006	0.493
chr1	18191024	18191870	0.025	0.008	0.05	0.015	1.278
chr1	18212979	18213911	0	0.004	0	0.007	-0.802
chr1	18359831	18360717	0.013	0.006	0.019	0.012	0.417
chr1	18378697	18379497	0.006	0.006	0.013	0.015	-0.14
chr1	18381612	18382401	0.006	0.003	0.013	0.006	0.493
chr1	18412402	18413381	0	0.009	0	0.018	-1.492
chr1	18463085	18463946	0.006	0.007	0.006	0.012	-0.439
chr1	18464158	18465193	0.006	0.01	0.013	0.021	-0.454
chr1	18550847	18551710	0.006	0.009	0.006	0.022	-0.967
chr1	18676420	18677325	0	0.006	0	0.014	-1.288
chr1	18742803	18743675	0.013	0.004	0.031	0.008	1.211
chr1	18793351	18794153	0.013	0.004	0.025	0.009	0.901
chr1	18849018	18849813	0.006	0.003	0.006	0.006	0.064
chr1	18864074	18864960	0	0.004	0	0.01	-0.983
chr1	18976520	18977383	0.006	0.013	0.013	0.024	-0.578
chr1	19056091	19056970	0	0.014	0	0.027	-1.904
chr1	19096569	19097439	0.013	0.005	0.025	0.008	0.937
chr1	19178817	19179708	0.025	0.017	0.075	0.039	0.815
chr1	19441444	19442165	0.006	0.005	0.006	0.009	-0.209
chr1	19664441	19665435	0.006	0.004	0.013	0.007	0.452
chr1	19713276	19714130	0.006	0.005	0.013	0.01	0.192
chr1	19776844	19777748	0	0.01	0	0.02	-1.585
chr1	19873391	19874352	0.006	0.003	0.013	0.009	0.227
chr1	19899612	19900548	0.013	0.007	0.025	0.013	0.611
chr1	19973084	19974033	0.006	0.007	0.013	0.014	-0.085
chr1	19989351	19990226	0.006	0.005	0.013	0.01	0.192
chr1	20056567	20057384	0.006	0.003	0.025	0.007	1.012
chr1	20057958	20058870	0	0.011	0	0.02	-1.607
chr1	20128274	20129121	0.013	0.002	0.038	0.003	1.849
chr1	20176136	20177005	0	0.004	0	0.007	-0.802
chr1	20179409	20180273	0	0.005	0	0.009	-0.948
chr1	20302477	20303357	0.019	0.006	0.038	0.012	1.112
chr1	20311183	20311966	0.019	0.01	0.031	0.021	0.423
chr1	20344353	20345227	0.019	0.008	0.031	0.017	0.632
chr1	20427953	20428755	0	0.004	0	0.01	-0.983
chr1	20449829	20450732	0.006	0.014	0.013	0.027	-0.711
chr1	20513393	20514327	0.006	0.016	0.013	0.033	-0.914
chr1	20554163	20555025	0.038	0.024	0.075	0.044	0.671
chr1	20612412	20613304	0.013	0.017	0.025	0.033	-0.306
chr1	20677814	20678639	0.006	0.005	0.013	0.008	0.298
chr1	20692915	20693694	0	0.005	0	0.009	-0.913
chr1	20699797	20700682	0.031	0.013	0.075	0.026	1.228
chr1	20738153	20739010	0.025	0.007	0.063	0.017	1.447
chr1	20801440	20802272	0.013	0.011	0.025	0.021	0.185
chr1	20819925	20820834	0.063	0.031	0.126	0.07	0.76
chr1	20832263	20833063	0.025	0.005	0.044	0.011	1.385
chr1	20845457	20846344	0.006	0.007	0.013	0.013	-0.057
chr1	20883002	20883873	0.019	0.003	0.05	0.006	1.953
chr1	20890380	20891055	0.044	0.016	0.063	0.028	0.944
chr1	20933219	20934102	0.025	0.006	0.044	0.013	1.231
chr1	20938763	20939634	0.025	0.006	0.05	0.013	1.361
chr1	20951191	20952054	0.069	0.02	0.157	0.04	1.729
chr1	20997010	20997788	0.031	0.004	0.082	0.007	2.396
chr1	21002541	21003460	0.013	0.011	0.019	0.023	-0.204
chr1	21052556	21053401	0.019	0.006	0.044	0.012	1.29
chr1	21073997	21074887	0.006	0.008	0.025	0.016	0.42
chr1	21078904	21079826	0.069	0.044	0.145	0.094	0.567
chr1	21100924	21101830	0.013	0.009	0.019	0.017	0.086
chr1	21114029	21114891	0.006	0.002	0.006	0.004	0.248
chr1	21124439	21125389	0.019	0.003	0.038	0.007	1.453
chr1	21161478	21162371	0.013	0.008	0.025	0.017	0.37
chr1	21166011	21166887	0.019	0.029	0.057	0.054	0.049
chr1	21213307	21214201	0.019	0.013	0.038	0.026	0.406
chr1	21218238	21219136	0.025	0.025	0.063	0.054	0.179
chr1	21245974	21246830	0.025	0.003	0.05	0.006	1.91
chr1	21271149	21272028	0.013	0.02	0.019	0.039	-0.765
chr1	21344082	21344940	0.038	0.02	0.088	0.041	0.932
chr1	21411149	21412019	0.044	0.023	0.075	0.054	0.419
chr1	21419108	21419922	0.019	0.007	0.031	0.013	0.82
chr1	21434550	21435471	0.006	0.006	0.013	0.011	0.126
chr1	21448056	21448907	0.006	0.005	0.025	0.009	0.901
chr1	21460830	21461698	0.019	0.009	0.038	0.018	0.763
chr1	21804803	21805666	0.006	0.005	0.013	0.011	0.094
chr1	21829886	21830724	0.006	0.014	0.013	0.029	-0.782
chr1	21940906	21941828	0.019	0.006	0.031	0.012	0.939
chr1	21947162	21948163	0.013	0.009	0.038	0.017	0.811
chr1	21960283	21960791	0	0.007	0	0.013	-1.173
chr1	21960932	21961829	0.013	0.019	0.019	0.033	-0.575
chr1	21966941	21967834	0.013	0.006	0.013	0.012	0.032
chr1	21982700	21983544	0	0.003	0	0.008	-0.84
chr1	22268739	22269642	0.019	0.026	0.038	0.056	-0.473
chr1	22320793	22321682	0.019	0.005	0.031	0.013	0.849
chr1	22336816	22337777	0.006	0.001	0.013	0.005	0.624
chr1	22351689	22352502	0.006	0.002	0.013	0.004	0.719
chr1	22390852	22391666	0	0.006	0	0.012	-1.113
chr1	22466483	22467418	0.013	0.003	0.025	0.007	1.012
chr1	22483130	22483968	0.019	0.004	0.05	0.008	1.752
chr1	22486912	22487717	0.019	0.008	0.031	0.016	0.684
chr1	22533278	22534220	0.013	0.012	0.025	0.028	-0.108
chr1	22600320	22601257	0.006	0.008	0.013	0.02	-0.387
chr1	22657144	22657993	0.006	0.004	0.013	0.01	0.159
chr1	22694486	22695453	0.013	0.006	0.019	0.014	0.27
chr1	22713869	22714638	0.006	0.005	0.013	0.009	0.262
chr1	22768818	22769791	0	0.006	0	0.012	-1.113
chr1	22805734	22806590	0.025	0.015	0.05	0.028	0.653
chr1	22968370	22969270	0.006	0.004	0.013	0.01	0.159
chr1	23061751	23062668	0.031	0.012	0.075	0.026	1.265
chr1	23141401	23142316	0.013	0.003	0.019	0.007	0.806
chr1	23255766	23256598	0.044	0.028	0.082	0.059	0.42
chr1	23286460	23287335	0.013	0.003	0.025	0.006	1.132
chr1	23320883	23321948	0	0.008	0	0.016	-1.393
chr1	23350856	23351703	0	0.005	0	0.007	-0.723
chr1	23371224	23372186	0.013	0.006	0.019	0.015	0.188
chr1	23382917	23383825	0.057	0.06	0.164	0.132	0.284
chr1	23495144	23496022	0.013	0.007	0.019	0.015	0.188
chr1	23705220	23706096	0.019	0.017	0.057	0.033	0.615
chr1	23762496	23763355	0.019	0.013	0.044	0.032	0.361
chr1	23792591	23793427	0.006	0.015	0.013	0.031	-0.849
chr1	23826804	23827697	0.013	0.01	0.025	0.023	0.081
chr1	23834547	23835399	0.006	0.005	0.025	0.011	0.765
chr1	23921731	23922569	0.006	0.007	0.006	0.012	-0.439
chr1	23934860	23935685	0.006	0.002	0.006	0.004	0.248
chr1	23967714	23968699	0	0.003	0	0.005	-0.551
chr1	24005215	24006071	0.006	0.016	0.013	0.031	-0.849
chr1	24074089	24074956	0.006	0.003	0.013	0.007	0.412
chr1	24099988	24100857	0.044	0.024	0.075	0.049	0.539
chr1	24107335	24108122	0.013	0.003	0.019	0.005	0.934
chr1	24109442	24110299	0.013	0.001	0.019	0.002	1.228
chr1	24134604	24135497	0.013	0.01	0.019	0.021	-0.121
chr1	24136930	24137829	0.05	0.018	0.107	0.033	1.427
chr1	24171326	24172143	0.019	0.009	0.038	0.016	0.887
chr1	24211844	24212683	0.013	0.008	0.025	0.015	0.472
chr1	24218787	24219706	0	0.006	0	0.012	-1.143
chr1	24230180	24231051	0.013	0.009	0.025	0.018	0.346
chr1	24248830	24249700	0.031	0.014	0.069	0.027	1.081
chr1	24302509	24303354	0.025	0.02	0.05	0.043	0.193
chr1	24367284	24368171	0.006	0.016	0.013	0.033	-0.945
chr1	24378050	24379061	0.025	0.007	0.044	0.014	1.174
chr1	24427948	24428802	0.025	0.005	0.057	0.01	1.719
chr1	24583166	24583998	0.006	0.003	0.038	0.007	1.532
chr1	24586282	24587187	0.006	0.007	0.006	0.015	-0.611
chr1	24612284	24613199	0.038	0.046	0.088	0.095	-0.097
chr1	24633454	24634295	0.006	0.011	0.013	0.02	-0.41
chr1	24678127	24679036	0.031	0.026	0.069	0.056	0.257
chr1	24766550	24767478	0	0.005	0	0.016	-1.393
chr1	24869552	24870458	0.031	0.005	0.075	0.012	1.952
chr1	24901018	24901937	0.006	0.006	0.006	0.013	-0.469
chr1	24938212	24939079	0	0.006	0	0.014	-1.26
chr1	25031244	25032167	0	0.004	0	0.007	-0.802
chr1	25105092	25106004	0.013	0.004	0.031	0.009	1.138
chr1	25228321	25229205	0.019	0.007	0.05	0.015	1.278
chr1	25504113	25504984	0.044	0.006	0.094	0.011	2.334
chr1	25510188	25511039	0.019	0.009	0.05	0.019	1.053
chr1	25551808	25552743	0	0.002	0	0.004	-0.504
chr1	25829785	25830669	0.044	0.008	0.075	0.014	1.808
chr1	25962192	25963129	0.013	0.002	0.044	0.004	1.977
chr1	25996566	25997418	0.006	0.003	0.013	0.009	0.262
chr1	26080904	26081868	0	0.004	0	0.007	-0.802
chr1	26141748	26142598	0	0.004	0	0.011	-1.049
chr1	26229169	26230100	0	0.003	0	0.008	-0.84
chr1	26310060	26311043	0.006	0.003	0.006	0.006	0.022
chr1	26397410	26398291	0.006	0.004	0.019	0.011	0.48
chr1	26466278	26467117	0.006	0.004	0.013	0.008	0.335
chr1	26685814	26686729	0.025	0.01	0.05	0.016	1.199
chr1	26687947	26688345	0.006	0.006	0.013	0.009	0.262
chr1	26759717	26760635	0	0.005	0	0.012	-1.143
chr1	26779596	26780489	0.006	0.006	0.013	0.014	-0.113
chr1	26853719	26854535	0.006	0.004	0.013	0.009	0.262
chr1	27584695	27585643	0.006	0.004	0.013	0.011	0.126
chr1	27652561	27653467	0	0.004	0	0.009	-0.948
chr1	27671914	27672821	0	0.002	0	0.005	-0.551
chr1	27688458	27689358	0	0.003	0	0.005	-0.596
chr1	27970700	27971452	0	0.003	0	0.006	-0.682
chr1	28047120	28048017	0	0.008	0	0.014	-1.288
chr1	28096708	28097369	0	0.004	0	0.007	-0.802
chr1	28229223	28230263	0	0.006	0	0.014	-1.288
chr1	28255051	28255953	0	0.004	0	0.008	-0.84
chr1	28256776	28257738	0	0.004	0	0.013	-1.232
chr1	28608156	28608973	0.013	0.004	0.019	0.007	0.766
chr1	28763319	28764242	0.013	0.006	0.025	0.012	0.701
chr1	28780915	28781848	0	0.002	0	0.005	-0.551
chr1	28827500	28828317	0.006	0.005	0.013	0.011	0.094
chr1	28833708	28834546	0.013	0.005	0.038	0.013	1.052
chr1	28888033	28888899	0.006	0.004	0.013	0.007	0.412
chr1	29011244	29011947	0.006	0.002	0.006	0.007	-0.059
chr1	29042543	29043532	0.006	0.005	0.025	0.008	0.974
chr1	29205438	29206256	0	0.003	0	0.006	-0.682
chr1	29216786	29217627	0.006	0.005	0.013	0.008	0.335
chr1	29315887	29316785	0.006	0.006	0.013	0.012	0.032
chr1	29403714	29404650	0	0.004	0	0.009	-0.913
chr1	29734885	29735798	0.006	0.003	0.013	0.007	0.452
chr1	29869556	29870418	0	0.002	0	0.006	-0.64
chr1	30054805	30055823	0.013	0.003	0.025	0.007	1.091
chr1	30145000	30145793	0	0.005	0	0.008	-0.877
chr1	30389832	30390620	0.013	0.004	0.025	0.007	1.051
chr1	30440721	30441594	0	0.003	0	0.006	-0.64
chr1	30566641	30567497	0.006	0.008	0.013	0.017	-0.269
chr1	30583142	30583959	0	0.006	0	0.014	-1.288
chr1	30584562	30585455	0.019	0.02	0.038	0.041	-0.093
chr1	30700124	30701018	0.019	0.009	0.05	0.02	0.986
chr1	30740514	30741359	0.006	0.004	0.013	0.009	0.262
chr1	30749150	30749831	0.006	0.004	0.013	0.007	0.452
chr1	30771559	30772456	0	0.009	0	0.02	-1.607
chr1	30873427	30874270	0	0.013	0	0.024	-1.773
chr1	30920532	30921447	0.025	0.011	0.05	0.026	0.743
chr1	30949462	30950336	0.013	0.025	0.019	0.053	-1.126
chr1	31081719	31082584	0	0.002	0	0.004	-0.456
chr1	31153749	31154620	0.025	0.011	0.044	0.023	0.721
chr1	31175353	31176155	0.019	0.003	0.057	0.006	2.054
chr1	31209928	31210818	0	0.011	0	0.021	-1.629
chr1	31233347	31234247	0.013	0.009	0.025	0.018	0.322
chr1	31337084	31337966	0.019	0.006	0.044	0.011	1.352
chr1	32172222	32173138	0.031	0.034	0.075	0.076	-0.013
chr1	32174476	32175342	0.025	0.005	0.063	0.011	1.817
chr1	32371426	32372329	0	0.004	0	0.009	-0.913
chr1	32532783	32533605	0.006	0.004	0.013	0.007	0.412
chr1	32553621	32554510	0.013	0.007	0.019	0.014	0.242
chr1	32568680	32569480	0	0.004	0	0.009	-0.948
chr1	32733021	32733947	0	0.005	0	0.01	-0.983
chr1	32839496	32840247	0.006	0.004	0.025	0.012	0.701
chr1	32885018	32885891	0	0.003	0	0.007	-0.723
chr1	32917082	32917977	0.006	0.004	0.006	0.007	-0.098
chr1	32964641	32965489	0.025	0.005	0.05	0.01	1.576
chr1	33042285	33043138	0.013	0.006	0.025	0.012	0.701
chr1	33088483	33089415	0	0.002	0	0.005	-0.551
chr1	33136751	33137611	0	0.006	0	0.011	-1.081
chr1	33147473	33148216	0	0.003	0	0.007	-0.723
chr1	33174691	33175552	0	0.007	0	0.013	-1.232
chr1	33201406	33202285	0.019	0.005	0.05	0.008	1.752
chr1	33494670	33495425	0.006	0.011	0.006	0.022	-0.988
chr1	33495566	33496450	0.006	0.008	0.006	0.015	-0.611
chr1	33499668	33500507	0.019	0.007	0.044	0.016	1.04
chr1	33508052	33508873	0	0.004	0	0.007	-0.802
chr1	33510382	33511296	0	0.008	0	0.017	-1.419
chr1	33571196	33572024	0.006	0.003	0.013	0.005	0.624
chr1	33635870	33636702	0	0.005	0	0.009	-0.913
chr1	33646930	33647803	0.025	0.012	0.044	0.031	0.409
chr1	33662778	33663679	0	0.006	0	0.01	-1.016
chr1	33669607	33670232	0.025	0.011	0.031	0.018	0.583
