peak,gene,distance_to_TSS,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr15-68077158-68078064,Zfat,180791,3.25610085171462e-09,3.00591002534944,0.057,0.006,0.000153447008737903
chr7-98437477-98438319,Gucy2d,5101,5.01763202457562e-09,5.05223455907826,0.031,0.001,0.000236460926790151
chr8-10448490-10449234,Myo16,175917,5.10788096568625e-09,4.75483664523834,0.031,0.001,0.00024071399838893
chr12-41032569-41033450,Immp2l,8478,5.24622263100946e-09,4.61725979404476,0.031,0.001,0.000247233487708952
chr14-24269390-24270240,E330034G19Rik,22973,5.24622263100946e-09,4.65398531347646,0.031,0.001,0.000247233487708952
chr6-95669159-95670016,Suclg2,48820,5.24622263100946e-09,4.59682993333901,0.031,0.001,0.000247233487708952
chr3-24070964-24071780,RP23-349M18.1,131486,5.34046847235266e-09,4.38625102275338,0.031,0.001,0.000251674917228092
chr6-77535681-77536512,Lrrtm1,292991,5.388207065201e-09,4.40291939394176,0.031,0.001,0.000253924646154662
chr3-126695182-126696154,Gm15551,26149,1.05622761037962e-08,2.98748091868741,0.057,0.007,0.000497757823667502
chr6-49304010-49304851,Ccdc126,14422,1.11684728433887e-08,4.1284268787334,0.038,0.002,0.000526325451217534
chr10-23476911-23477744,Eya4,127015,1.18397929067952e-08,3.78881479502652,0.038,0.002,0.000557962080525632
chr11-121056463-121057381,Sectm1b,6187,2.00991141966569e-08,5.47130093604838,0.025,0.001,0.000947190855631654
chr15-89596243-89597096,Rabl2,4319,2.00991141966569e-08,5.64471880592026,0.025,0.001,0.000947190855631654
chr6-32557869-32558766,Plxna4,29425,2.00991141966569e-08,6.04041383851383,0.025,0.001,0.000947190855631654
chr14-100283021-100283938,Gm16260,63534,2.05107878011541e-08,5.40716627347309,0.025,0.001,0.000966591385917186
chr16-45806620-45807475,Abhd10,63664,2.05107878011541e-08,5.26005049618797,0.025,0.001,0.000966591385917186
chr19-38639649-38640497,Gm28991,112147,2.67849676030146e-08,9.22863244515806,0.019,0,0.00126226838325967
chrX-93918720-93919592,Supt20-ps,2369,2.67849676030146e-08,9.24094786460941,0.019,0,0.00126226838325967
chr18-74778403-74779323,Scarna17,0,3.32092599970372e-08,2.19508578802748,0.094,0.02,0.00156501958662038
chr1-134987281-134988216,Ube2t,24715,5.25186413684875e-08,3.31615233434868,0.044,0.004,0.00247499349313134
chr1-25504114-25504984,Gm25294,53042,5.31422457958909e-08,3.36831306315341,0.044,0.004,0.00250438147537716
chr1-146583850-146584872,Gm29514,88789,5.42508263403428e-08,3.3456764615506,0.044,0.004,0.002556624442115
chr3-157215778-157216610,Gm24373,4848,5.44110555205568e-08,3.36327325271093,0.044,0.004,0.00256417540246176
chr9-80384019-80384939,Impg1,80541,5.57092020325683e-08,3.29409744587032,0.044,0.004,0.00262535185498681
chr1-4722331-4723232,Gm25493,146,5.70373401606133e-08,3.21838425777165,0.044,0.004,0.00268794169240906
chr1-172001372-172002276,Vangl2,26167,5.70373401606133e-08,3.16028696801072,0.044,0.004,0.00268794169240906
chr13-12588888-12589733,Gm25483,0,5.72054606059898e-08,3.17219692681966,0.044,0.004,0.00269586453651788
chr13-109544386-109545269,AC161585.1,142952,5.87407088964221e-08,3.12539804886864,0.044,0.004,0.00276821464745279
chr14-111808300-111809212,Slitrk5,133184,5.94357691722373e-08,3.02876146491062,0.044,0.004,0.00280097005801085
chr6-70709241-70710154,Igkv3-1,5662,7.72327304240082e-08,2.44310656068096,0.069,0.012,0.00363966965396181
chr11-121361975-121362960,Wdr45b,7529,8.40579604964721e-08,3.80643882000455,0.038,0.003,0.00396131544635675
chr1-38506365-38507160,RP24-390D21.4,18845,8.54250725762534e-08,4.22125370854189,0.031,0.002,0.00402574197022852
chr10-84852304-84853177,Gm24226,41120,8.54250725762534e-08,4.11935942386364,0.031,0.002,0.00402574197022852
chr11-28389411-28390268,Gm12081,29048,8.57272852567894e-08,3.74542026357331,0.038,0.003,0.00403998404501146
chr8-49015102-49015823,Gm25830,56620,8.62908263451643e-08,3.72610781877144,0.038,0.003,0.00406654148234221
chr12-66130543-66131440,Rpl10l,152960,8.68579535607493e-08,3.61314958361515,0.038,0.003,0.00409326791950387
chr4-33524398-33525281,Gm11935,71508,8.68579535607493e-08,3.58984215436311,0.038,0.003,0.00409326791950387
chr12-74237755-74238670,Gm29587,2614,8.74149328070756e-08,3.88379760229105,0.031,0.002,0.00411951612346624
chr3-104104623-104105449,Gm23830,12241,8.74149328070756e-08,4.05066268528924,0.031,0.002,0.00411951612346624
chr9-56346223-56347138,RP23-180C14.1,68927,8.74149328070756e-08,4.08184832777668,0.031,0.002,0.00411951612346624
chr12-65428139-65429067,Gm26015,22168,8.8003054580292e-08,3.61912865034524,0.038,0.003,0.00414723195015084
chr13-91892833-91893698,Ckmt2,15947,8.8003054580292e-08,3.55870609861214,0.038,0.003,0.00414723195015084
chr14-16337115-16337809,Top2b,27369,8.80881373430178e-08,3.90906523575118,0.031,0.002,0.00415124156042706
chr10-34271306-34272065,Tspyl1,10124,8.8581072813169e-08,3.43658585101577,0.038,0.003,0.0041744716373934
chr12-119034704-119035500,Abcb5,68282,8.8581072813169e-08,3.57685994937614,0.038,0.003,0.0041744716373934
chr5-52533659-52534462,Lgi2,31840,8.91627660325618e-08,3.46502261742245,0.038,0.003,0.00420188451205051
chr10-12552904-12553794,Gm25139,184280,8.9449637809325e-08,3.82094608659012,0.031,0.002,0.00421540363140225
chr11-49189718-49190489,Btnl9,2558,8.9449637809325e-08,3.9449744811136,0.031,0.002,0.00421540363140225
chr8-119269397-119270403,Hsbp1,74134,8.9449637809325e-08,3.9425010688681,0.031,0.002,0.00421540363140225
chr4-62582484-62583374,Rgs3,22636,9.08315020053497e-08,3.77322414507256,0.031,0.002,0.00428052536350411
chr7-86764403-86765215,Folh1,10648,9.15267416393869e-08,3.40705258626406,0.038,0.003,0.00431328922649775
chr7-89437509-89438413,Fzd4,33142,9.2731371835325e-08,3.44375803931192,0.038,0.003,0.00437005862911153
chr14-16447288-16448025,Top2b,82108,9.4567143246391e-08,3.29689832274898,0.038,0.003,0.00445657119262942
chr19-34191964-34192866,Stambpl1,0,1.02516467316647e-07,2.74870931858442,0.05,0.006,0.0048311910387643
chr4-47037119-47037817,Gm12425,3780,1.06941361734673e-07,2.74336635067163,0.057,0.008,0.00503971861310819
chr3-154652824-154653694,RP23-187C2.2,3006,1.16636734246853e-07,2.2376143968552,0.082,0.016,0.00549662273811718
chr12-61525931-61526854,Lrfn5,2780,1.18349965907391e-07,2.57369512700468,0.057,0.008,0.00557736049335171
chr17-39847755-39848685,AY036118,143,1.5063185790089e-07,1.44149360284202,0.17,0.057,0.00709867693543734
chr6-4416906-4417806,Gm24442,34027,1.92207704656214e-07,2.32249692361064,0.075,0.015,0.00905798028962875
chr4-70401911-70402786,Cdk5rap2,7656,1.95096131806584e-07,2.66106491459186,0.063,0.01,0.00919410030751708
chr15-43869537-43870384,Tmem74,0,2.0658277240706e-07,2.65543047316957,0.063,0.01,0.00973541973245513
chr6-58953607-58954513,BB365896,11141,2.25237792068725e-07,3.11768287717177,0.044,0.005,0.0106145561890307
chr6-41112671-41113571,Trbv12-1,0,2.34779173421754e-07,2.14814635233915,0.075,0.015,0.0110642033266736
chr13-52154662-52155527,RP23-356F21.1,132734,2.3782532944821e-07,2.98173746277203,0.044,0.005,0.0112077564755763
chr9-72958299-72959185,Dyx1c1,0,2.3782532944821e-07,3.03988433899511,0.044,0.005,0.0112077564755763
chr8-28118129-28119071,Gm8100,66768,2.47038068575627e-07,2.8314500481071,0.044,0.005,0.011641916019695
chr10-10320816-10321723,Gm15568,21391,2.47243490778917e-07,1.78585046349438,0.107,0.027,0.0116515967464472
chr6-65950338-65951217,4930544G11Rik,1353,2.48452983298872e-07,2.82883689143032,0.057,0.009,0.0117085952909426
chr9-41228491-41229366,1700063D05Rik,22353,2.56595113191866e-07,2.8525679628871,0.044,0.005,0.0120923013042799
chr18-22984949-22985827,Nol4,55825,2.8211383912269e-07,2.64730353581986,0.057,0.009,0.0132948967824959
chr17-25083161-25084110,Tmem204,1979,2.95758716517501e-07,2.87130921167495,0.05,0.007,0.0139379252746038
chr16-49572755-49573660,Ift57,125572,2.97893925280306e-07,2.8608967807445,0.05,0.007,0.0140385491227597
chr1-64445677-64446526,Gm28980,8050,2.98609320281065e-07,2.87410657932441,0.05,0.007,0.0140722628275655
chr9-76023152-76024018,Gm26903,7959,2.98609320281065e-07,2.86896506914514,0.05,0.007,0.0140722628275655
chr1-93128436-93129324,Gm28086,4332,3.17795403274705e-07,2.7176961566727,0.05,0.007,0.0149764261747238
chr13-91636539-91637418,Gm22778,85837,3.20850790559323e-07,2.67848180009673,0.05,0.007,0.0151204143558987
chr11-34738871-34739693,Dock2,44198,3.2393452871036e-07,2.71980500617611,0.05,0.007,0.0152657386000044
chr2-136914134-136915040,Mkks,22744,3.29345683648784e-07,2.31352174608741,0.069,0.013,0.0155207446876326
chrX-145505676-145506438,Amot,494,4.79414630042939e-07,2.42348962083198,0.063,0.011,0.0225928938554035
chr1-146890943-146891969,Gm15584,49246,4.93526644263704e-07,3.28649871913341,0.038,0.004,0.0232579366375713
chr6-61686717-61687612,A730020E08Rik,505906,4.93526644263704e-07,3.33076205371036,0.038,0.004,0.0232579366375713
chr14-105733121-105733862,Gm10076,51292,5.0236295818145e-07,3.22600016581915,0.038,0.004,0.023674356767259
chr7-109559288-109560226,Gm24888,38007,5.0236295818145e-07,3.2644183754592,0.038,0.004,0.023674356767259
chr2-122243531-122244385,Sord,8781,5.04292505395065e-07,2.42120930076491,0.063,0.011,0.0237652886092478
chr3-108256624-108257544,Psma5,0,5.14382328513509e-07,3.13620390263234,0.038,0.004,0.0242407816135276
chr3-137550416-137551317,Gm4861,1304,5.17430226429612e-07,3.10178169733805,0.038,0.004,0.0243844168507219
chr5-123171294-123172208,Hpd,10516,5.20495535730523e-07,3.13452378680896,0.038,0.004,0.0245288726168366
chr10-105835760-105836615,Ccdc59,4451,5.74755353744499e-07,4.44930940485617,0.025,0.001,0.0270859208005632
chr8-95113519-95114431,Kifc3,28108,5.79550059846909e-07,4.57717280792287,0.025,0.001,0.0273118761203454
chr16-77431244-77432148,RP23-239I17.5,9423,5.84383313228237e-07,4.47513104359404,0.025,0.001,0.0275396480191939
chr1-77213227-77214156,RP23-59P14.1,66234,5.89255411285113e-07,4.48374992197901,0.025,0.001,0.0277692505122222
chr17-50082552-50083429,Rftn1,107244,5.89255411285113e-07,4.35422134871527,0.025,0.001,0.0277692505122222
chr10-85791288-85792206,Pwp1,79624,5.94166653604109e-07,4.32639646333833,0.025,0.001,0.0280006977177472
chr6-142503669-142504750,Ldhb,3206,5.94166653604109e-07,4.36168013439799,0.025,0.001,0.0280006977177472
chr7-112336139-112337112,Micalcl,31195,5.94166653604109e-07,4.50561672208236,0.025,0.001,0.0280006977177472
chr15-11647848-11648689,Tars,248189,5.99117341977023e-07,4.11241317074001,0.025,0.001,0.0282340038580092
chr6-72969462-72970356,Tmsb10,10713,5.99117341977023e-07,4.20108021345508,0.025,0.001,0.0282340038580092
chr6-142754399-142755308,Cmas,1377,5.99117341977023e-07,4.32304936892617,0.025,0.001,0.0282340038580092
chr6-63862375-63863270,Gm25205,550377,6.04107780416269e-07,4.19130639487299,0.025,0.001,0.0284691832598971
chr16-34723204-34724079,Mylk,21130,6.09138275170339e-07,4.26291649977142,0.025,0.001,0.0287062503556774
chr2-76971867-76972770,Ttn,9776,6.09138275170339e-07,4.07917940186007,0.025,0.001,0.0287062503556774
chr5-120926785-120927695,Oas1d,12248,6.09138275170339e-07,4.00312267010989,0.025,0.001,0.0287062503556774
chr1-93161361-93162227,2310007B03Rik,412,6.14209134739405e-07,3.76944242516103,0.025,0.001,0.0289452196837292
chr1-182908097-182908963,RP23-160F6.1,386,6.14209134739405e-07,3.97288002178596,0.025,0.001,0.0289452196837292
chr12-45651017-45651893,Gm9921,213835,6.14209134739405e-07,4.09097313184232,0.025,0.001,0.0289452196837292
chr2-129502357-129503299,Gm14040,12507,6.14209134739405e-07,3.93749828904011,0.025,0.001,0.0289452196837292
chr2-153330027-153330919,Asxl1,14925,6.14209134739405e-07,3.97790549955605,0.025,0.001,0.0289452196837292
chr6-31938054-31938905,1700012A03Rik,111340,6.14209134739405e-07,3.88042863988083,0.025,0.001,0.0289452196837292
chr14-86781303-86782203,Diap3,359020,6.3057075864012e-07,2.68547628463268,0.057,0.009,0.0297162775716743
chr11-44398440-44399537,Il12b,525,7.05392588910434e-07,2.51313316815502,0.057,0.009,0.0332423311449931
chr18-61068158-61069057,Pdgfrb,23007,7.3867650382113e-07,3.90830013181823,0.031,0.002,0.0348108689190746
chr16-71079770-71080643,Gm24968,94284,7.53732377562299e-07,3.6788138708397,0.031,0.002,0.0355203920250009
chr1-119053284-119054188,Gli2,0,7.58816374830906e-07,3.68541982078413,0.031,0.002,0.0357599804802813
chr3-141045321-141046256,Pdha2,166098,7.58816374830906e-07,3.71360164259702,0.031,0.002,0.0357599804802813
chr6-118225837-118226873,Ret,28092,7.63097706475221e-07,2.39673945701596,0.057,0.009,0.0359617425153513
chr10-122069951-122070943,Srgap1,22635,7.6393339826864e-07,3.54339642750336,0.031,0.002,0.0360011253268079
chr5-131165276-131166170,Wbscr17,141907,7.6393339826864e-07,3.66422347888747,0.031,0.002,0.0360011253268079
chr1-3970244-3971015,RP23-333I7.1,15199,7.69083653588728e-07,3.5417097647384,0.031,0.002,0.0362438362590224
chr12-38792841-38793678,Etv1,13460,7.69083653588728e-07,3.61421131361636,0.031,0.002,0.0362438362590224
chr17-53659477-53660368,Sgol1,28964,7.69083653588728e-07,3.64596458964701,0.031,0.002,0.0362438362590224
chr3-127608065-127608841,Neurog2,24294,7.69083653588728e-07,3.66811415422911,0.031,0.002,0.0362438362590224
chr9-121477009-121477903,Cck,17785,7.74267347726069e-07,3.52366342111916,0.031,0.002,0.0364881230289387
chr17-37196873-37197791,Olfr94,219,7.79484688844114e-07,3.48552479786449,0.031,0.002,0.0367339954464677
chr10-22775800-22776721,Tcf21,43406,7.8473588634176e-07,3.58226788889122,0.031,0.002,0.0369814633797418
chr12-21266235-21267124,Gm20535,10282,7.8473588634176e-07,3.55980104799333,0.031,0.002,0.0369814633797418
chr19-29948031-29948909,Il33,22916,7.8473588634176e-07,3.49996087681728,0.031,0.002,0.0369814633797418
chr2-92608655-92609507,Chst1,8947,7.8473588634176e-07,3.41752527507693,0.031,0.002,0.0369814633797418
chr3-78825177-78826064,Gm24749,16159,7.8473588634176e-07,3.52515201479058,0.031,0.002,0.0369814633797418
chr7-107442971-107443886,Syt9,72242,7.900211508603e-07,3.48215127115573,0.031,0.002,0.0372305367554425
chr1-3994441-3995349,RP23-333I7.1,8225,7.91453831936825e-07,3.01212537968198,0.044,0.005,0.0372980532838548
chr14-27401735-27402576,Gm23633,20884,7.9267593072466e-07,3.52074939209663,0.031,0.002,0.0373556459113303
chrX-74428522-74429355,G6pdx,0,7.95340694290381e-07,3.39727884472113,0.031,0.002,0.0374812255591285
chr9-10889511-10890426,Cntn5,14348,8.06083471736668e-07,3.32185383918869,0.031,0.002,0.0379874896890622
chr12-69241425-69242344,Klhdc1,248,8.19874634476747e-07,2.92599146853378,0.044,0.005,0.0386374120243512
chr16-49938236-49939040,AC107830.1,25042,8.36553772787724e-07,2.9774803707222,0.044,0.005,0.0394234330963943
chr17-86063205-86064110,Srbd1,81064,8.66531671582518e-07,2.77842666871571,0.044,0.005,0.0408361715549978
chr3-54755106-54756030,Smad9,0,8.74323940286492e-07,2.70935502020855,0.05,0.007,0.0412033900099412
chr18-42589219-42590126,Gpr151,9566,8.90196423029862e-07,2.67501270664961,0.05,0.007,0.0419513966317053
chr12-51947176-51948090,Heatr5a,23230,9.31100868601278e-07,2.60103374610763,0.05,0.007,0.0438790595337038
chr5-91586063-91586848,Parm1,68447,9.34292654784849e-07,2.7300826004091,0.044,0.005,0.0440294756493908
chr10-24869488-24870386,Med23,0,1.24870186114959e-06,1.66752373600712,0.113,0.033,0.0588463239085356
chr15-44787351-44788264,2310069G16Rik,0,1.90054385064674e-06,1.94335258914252,0.082,0.02,0.0895650295055783
chr17-90962824-90963778,4930480K15Rik,101654,1.92214652446841e-06,3.25068877348388,0.038,0.004,0.0905830771120982
chr4-98382661-98383531,Tm2d1,0,1.94303299594026e-06,3.20219922341781,0.038,0.004,0.0915673729666807
chr18-11914853-11915694,Mir1901,74414,1.98010893696171e-06,3.16766423693356,0.038,0.004,0.0933146137632578
chr3-28176079-28176994,RP23-145M5.2,68528,1.98546194409236e-06,3.16394550936706,0.038,0.004,0.0935668795772968
chr10-26752297-26753216,Arhgap18,204,2.00051926979585e-06,1.96423909286134,0.082,0.02,0.094276471108399
chr13-17428181-17428958,Gm24873,11831,2.0287801537084e-06,3.16117716965457,0.038,0.004,0.0956082935236623
chr8-36831545-36832479,Dlc1,120663,2.05077827978288e-06,2.98714223786713,0.038,0.004,0.0966449772130481
chr9-14440249-14441085,Gm27205,10960,2.06186308169513e-06,3.00205156933279,0.038,0.004,0.0971673595879649
chr16-52417986-52418902,Alcam,35171,2.08420558327454e-06,2.9891507030517,0.038,0.004,0.0982202723173961
chr3-107631275-107632111,Gm10961,0,2.09546385495799e-06,3.07632295874787,0.038,0.004,0.0987508296287504
chr14-61359965-61360842,Ebpl,0,2.10531822253614e-06,2.27924405550156,0.063,0.012,0.0992152265552379
chr4-52429258-52430219,Smc2os,8745,2.10678052415882e-06,2.90223132183812,0.038,0.004,0.0992841389815087
chr3-59448663-59449590,RP23-241H7.1,17125,2.11815588026015e-06,2.95739392677651,0.038,0.004,0.0998202140131397
chr1-158343095-158343962,Brinp2,12363,2.15263698424553e-06,2.98546319120447,0.038,0.004,0.101445170519555
chr10-13727474-13728339,Aig1,140640,2.19001133420639e-06,3.05312230834723,0.044,0.006,0.10320647413581
chr6-108426475-108427379,Gm27813,28803,2.19953101825224e-06,2.49887248839101,0.05,0.008,0.103655098766155
chr9-63377436-63378208,Map2k5,0,2.24724227060247e-06,2.74174138416756,0.038,0.004,0.105903539244412
chr6-139307454-139308341,Gm25434,111222,2.31420589264289e-06,2.43908167071071,0.05,0.008,0.109059266896689
chr2-72203410-72204302,Rapgef4os2,27999,2.3240170375657e-06,2.47376857691672,0.05,0.008,0.109521626912321
chr2-28203937-28204760,Olfm1,10944,2.42846260782666e-06,2.86861204121647,0.044,0.006,0.114443728856439
chr11-34774201-34775062,Dock2,8829,2.43987322856923e-06,2.87120916600082,0.044,0.006,0.114981465769553
chr10-73011680-73012593,Pcdh15,86748,2.46284907499574e-06,2.75952679375992,0.044,0.006,0.116064225508249
chr14-79425993-79426906,Kbtbd7,0,2.54491134728673e-06,2.78114502421391,0.044,0.006,0.119931492152234
chr1-131053016-131053879,Gm25549,19871,2.58087867095426e-06,2.71413971241108,0.044,0.006,0.121626488247391
chr15-83842970-83843953,Mpped1,63502,2.74245350313163e-06,2.56888443329612,0.044,0.006,0.129240863788581
chr16-89536008-89536785,Krtap7-1,27684,3.09283809994208e-06,5.16292832184075,0.019,0.001,0.145753088297871
chr2-65210452-65211284,Gm13594,27471,3.09283809994208e-06,5.03423509434539,0.019,0.001,0.145753088297871
chr9-29196918-29197680,Gm15520,137118,3.09283809994208e-06,5.12701388279905,0.019,0.001,0.145753088297871
chr10-86452053-86452952,Syn3,45943,3.12246777448623e-06,5.16424840039915,0.019,0.001,0.147149416340438
chr10-127955943-127956839,Gm23996,2767,3.12246777448623e-06,4.89783427342319,0.019,0.001,0.147149416340438
chr17-93985577-93986438,Gm22593,342424,3.12246777448623e-06,5.13916452259918,0.019,0.001,0.147149416340438
chr4-23230996-23231828,Gm11884,28955,3.12246777448623e-06,4.96340306636391,0.019,0.001,0.147149416340438
chr17-39843143-39843840,Gm26917,129,3.13448232361611e-06,1.37585053301295,0.157,0.059,0.147715613982733
chr10-73385732-73386609,Gm15398,58704,3.15236962433348e-06,4.78812314977992,0.019,0.001,0.14855857091634
chr16-44691397-44692258,BC027231,32042,3.15236962433348e-06,4.87762861478456,0.019,0.001,0.14855857091634
chr2-181159602-181160503,Eef1a2,2587,3.15236962433348e-06,4.84420092990166,0.019,0.001,0.14855857091634
chr6-49745127-49746183,Npy,76526,3.15236962433348e-06,4.60141336678652,0.019,0.001,0.14855857091634
chr6-114297238-114298133,Slc6a1,14602,3.15236962433348e-06,4.90437162735911,0.019,0.001,0.14855857091634
chr8-107244102-107244971,Rps18-ps3,18276,3.15236962433348e-06,4.77301676708056,0.019,0.001,0.14855857091634
chr1-62827742-62828690,Gm4208,3679,3.18254603359965e-06,4.45394449244927,0.019,0.001,0.149980664379417
chr1-164353044-164353966,Blzf1,45554,3.18254603359965e-06,4.54130010821823,0.019,0.001,0.149980664379417
chr15-60397268-60398168,Gm23835,305954,3.18254603359965e-06,4.78145210734362,0.019,0.001,0.149980664379417
chr16-40137704-40138540,RP23-148D9.1,10235,3.18254603359965e-06,4.38770072676637,0.019,0.001,0.149980664379417
chr17-28904567-28905451,1700030A11Rik,0,3.18254603359965e-06,4.70552516420933,0.019,0.001,0.149980664379417
chr19-27848274-27849071,Gm8412,8986,3.18254603359965e-06,4.51113112107793,0.019,0.001,0.149980664379417
chr1-40790239-40791100,Mfsd9,0,3.59524788605585e-06,2.30475983852427,0.063,0.013,0.169429651878268
chr1-4807428-4808298,RP24-426M1.3,0,4.22195576209575e-06,2.16076281264673,0.063,0.013,0.198963887244524
chr16-45999576-46000432,Plcxd2,9785,4.25009780228168e-06,3.46508686073825,0.031,0.003,0.200290109030326
chr5-110362876-110363754,Lrcol1,18145,4.25009780228168e-06,3.44092597153388,0.031,0.003,0.200290109030326
chr1-129473223-129474138,RP23-50E17.2,100918,4.35263267764297e-06,3.37895031776455,0.031,0.003,0.205122167566602
chr1-155784560-155785527,RP24-429M15.2,3596,4.35263267764297e-06,3.41196811284441,0.031,0.003,0.205122167566602
chr2-38950117-38950995,Gm13473,10773,4.35263267764297e-06,3.38501310777262,0.031,0.003,0.205122167566602
chr3-55465911-55466748,Gm21954,5461,4.35263267764297e-06,3.36540241639075,0.031,0.003,0.205122167566602
chr13-42772123-42772907,Gm15810,15350,4.37863434011778e-06,3.43235793980876,0.031,0.003,0.206347521912391
chr1-168197736-168198586,RP24-93F24.2,139084,4.40478478707777e-06,3.26222481548057,0.031,0.003,0.207579887875827
chr9-35523854-35524743,Gm1113,5584,4.40478478707777e-06,3.33024179507268,0.031,0.003,0.207579887875827
chr4-97264763-97265765,Gm10192,81596,4.43108482928879e-06,3.26905460529098,0.031,0.003,0.208819303665064
chr16-55271225-55272160,Zpld1,25825,4.45753528169157e-06,3.32258700483448,0.031,0.003,0.210065807684997
chr16-78196498-78197215,Gm25916,43042,4.45753528169157e-06,3.16079885440361,0.031,0.003,0.210065807684997
chr13-41737343-41738233,1700061E18Rik,62549,4.48413696342186e-06,3.19097264692781,0.031,0.003,0.211319438538218
chr2-181392346-181393246,Slc2a4rg-ps,8095,4.48413696342186e-06,3.15928241809522,0.031,0.003,0.211319438538218
chr4-138119514-138120425,1700095J12Rik,18092,4.48413696342186e-06,3.17135920635821,0.031,0.003,0.211319438538218
chr11-68982470-68983369,Rangrf,7284,4.51089069783057e-06,3.13036334988054,0.031,0.003,0.212580235025963
chr16-42914303-42915224,Zbtb20,38421,4.51089069783057e-06,3.2061162476162,0.031,0.003,0.212580235025963
chr2-5396210-5397031,Gm13197,112559,4.51089069783057e-06,3.13227570157785,0.031,0.003,0.212580235025963
chr13-65127148-65128174,Hiatl1,14165,4.53779731250408e-06,3.08702627197778,0.031,0.003,0.213848236149067
chr14-79021609-79022557,Vwa8,172430,4.53779731250408e-06,3.22820137656028,0.031,0.003,0.213848236149067
chr18-39900834-39901726,Pabpc2,127336,4.53779731250408e-06,3.04408159730314,0.031,0.003,0.213848236149067
chr3-11072148-11073222,Gm15235,27789,4.53779731250408e-06,3.18784001989572,0.031,0.003,0.213848236149067
chr6-29211881-29212780,Impdh1,3583,4.53779731250408e-06,3.19671319392168,0.031,0.003,0.213848236149067
chr10-56164172-56165096,Msl3l2,57254,4.56485763928452e-06,3.18806586976326,0.031,0.003,0.215123481108922
chr7-114493793-114494642,Cyp2r1,68329,4.56485763928452e-06,3.22214932313856,0.031,0.003,0.215123481108922
chr9-47708025-47708888,Cadm1,177851,4.56485763928452e-06,3.11167038262726,0.031,0.003,0.215123481108922
chr6-121524257-121525115,Iqsec3,50578,4.59207251429033e-06,3.06437996325741,0.031,0.003,0.216406009308446
chr16-3743458-3744368,Zfp263,0,5.09132909924222e-06,2.02117063259109,0.075,0.018,0.239933975130889
chr2-27564790-27565730,Gm13421,24363,5.65174757632107e-06,8.61350238111639,0.013,0,0.266344256281707
chr2-77059153-77059973,Ttn,76605,5.65174757632107e-06,8.30312190168796,0.013,0,0.266344256281707
chr8-121433373-121434246,Gm26784,733,5.65174757632107e-06,8.40514053366057,0.013,0,0.266344256281707
chr8-121857532-121858411,9530085P06Rik,0,5.65174757632107e-06,8.66158113536384,0.013,0,0.266344256281707
